number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder
1,01.01.2009,In the Time of the Gods,Los Angeles,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Folk,"Delicate, Narrative, Myth",Delicate,"Narrative, Myth",,,2:36,C,61,https://youtu.be/v6Lk_OP4ZKc,"Background, Location, Topic, Mood, Instrument, Beard"
2,01.02.2009,Hands (Oh No!),Los Angeles,Poetic,Baritone Ukulele,Baritone Ukulele,,Sad,Clean,Folk,Dark,Dark,,,,3:09,F,100,https://youtu.be/ojUAssDIqic,"Background, Location, Topic, Mood, Instrument, Beard"
3,01.03.2009,Who Do You Think You Are,Los Angeles,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Anxious,Clean,Electro,"Dark, Cheesy, Narrative, Funny",Dark,"Cheesy, Narrative, Funny",,,2:12,Am,110,https://youtu.be/tRrTEB50cCE,"Background, Location, Topic, Mood, Instrument, Beard"
4,01.04.2009,Elegy for industry,Los Angeles,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Sad,Clean,Electro,"Dark, Narrative",Dark,Narrative,,,2:20,Em,130,https://youtu.be/57gN8EZJE2A,"Background, Location, Topic, Mood, Instrument, Beard"
5,01.05.2009,The Airport Song,Los Angeles,Airport,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,"Wistful, Personal, Travel",Wistful,"Personal, Travel",,,1:13,D,59,https://www.youtube.com/watch?v=kLzFYvZkX7c,"Background, Location, Topic, Mood, Instrument, Beard"
6,01.06.2009,It Must Be the Weather,NYC,Life,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Blues,"Dark, Personal, Weather",Dark,"Personal, Weather",,,3:50,Gm,65,https://youtu.be/n3ckq1Pa64g,"Background, Location, Topic, Mood, Instrument, Beard"
7,01.07.2009,"EGM, 1up, Goodbye",NYC,Video Games,Baritone Ukulele,Baritone Ukulele,,Sad,Shadow,Folk,"Dark, Personal",Dark,Personal,,,2:37,Em,96,https://www.youtube.com/watch?v=mzFyM0SCpOs,"Background, Location, Topic, Mood, Instrument, Beard"
8,01.08.2009,Boy for Boy's Sake,NYC,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Folk,Light,Light,,,,2:23,D,50,https://www.youtube.com/watch?v=qLjYVzYGg-M,"Background, Location, Topic, Mood, Instrument, Beard"
9,01.09.2009,The Deutsch Positivity Anthem,NYC,Commission,Baritone Ukulele,Baritone Ukulele,,Happy,Clean,Electro,"Cheesy, Motivational",Cheesy,Motivational,,,2:59,Bb,170,https://youtu.be/pvweusx-cAk,"Background, Location, Topic, Mood, Instrument, Beard"
10,01.10.2009,The Three Rules of the internet,NYC,Internet,Baritone Ukulele,Baritone Ukulele,,Silly,Clean,Folk,"Funny, Nerd",Funny,Nerd,,,3:07,D,100,https://www.youtube.com/watch?v=GWSP2c9J8CQ,"Background, Location, Topic, Mood, Instrument, Beard"
11,01.11.2009,Song A DayAnthem,NYC,Song A Day,Baritone Ukulele,Baritone Ukulele,,Happy,Clean,Folk,"Fun, Personal, Motivational",Fun,"Personal, Motivational",,,3:09,D,85,https://www.youtube.com/watch?v=OfAITTY-CCU,"Background, Location, Topic, Mood, Instrument, Beard"
12,01.12.2009,Everyone's a Little Bit Queer,NYC,Social Justice,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,"Fun, Funny",Fun,Funny,,,5:03,B,80,https://www.youtube.com/watch?v=D5TMZc9gzt4,"Background, Location, Topic, Mood, Instrument, Beard"
13,1/13/2009,What Does It Mean to Love a Machine?,NYC,Sex,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,"Distortion, Raunchy, Funny",Distortion,"Raunchy, Funny",Robots,,4:45,Bm,102,https://youtu.be/rZTgmjwI0iw,"Background, Location, Topic, Mood, Instrument, Beard"
14,1/14/2009,I'm Drunk Because the Economy Sucks,NYC,Politics,Baritone Ukulele,Baritone Ukulele,,Drunk,Shadow,Folk,"Frustrated, Political",Frustrated,Political,Economy,,2:44,F#,35,https://www.youtube.com/watch?v=tzAz5HzjBsw,"Background, Location, Topic, Mood, Instrument, Beard"
15,1/15/2009,"Get Well, Steve Jobs",NYC,Apple,Baritone Ukulele,Baritone Ukulele,,Sad,Shadow,Folk,Nerd,Nerd,,,Steve Jobs,3:58,F#,95,https://www.youtube.com/watch?v=NMw-E7tz2hM,"Background, Location, Topic, Mood, Instrument, Beard"
16,1/16/2009,Riding the Subway,NYC,Poetic,Baritone Ukulele,Baritone Ukulele,,Intense,Shadow,Folk,"Dark, Travel",Dark,Travel,Subway,,1:51,D#m,105,https://www.youtube.com/watch?v=ChcyufiBFOg,"Background, Location, Topic, Mood, Instrument, Beard"
17,1/17/2009,I'm So Tired of Capitalism,NYC,Social Justice,Baritone Ukulele,Baritone Ukulele,,Tired,Shadow,Folk,"Frustrated, Political",Frustrated,Political,"Capitalism, Economy",,2:06,D#m,112,https://www.youtube.com/watch?v=2fVvJkn-S9s,"Background, Location, Topic, Mood, Instrument, Beard"
18,1/18/2009,The Marks Sisters,Baltimore,Friend,Baritone Ukulele,Baritone Ukulele,,Chill,Clean,Jazz,"Rough, Personal",Rough,Personal,,,1:16,F,120,https://www.youtube.com/watch?v=betnMsatQYA,"Background, Location, Topic, Mood, Instrument, Beard"
19,1/19/2009,Snow Day,Baltimore,Life,"Baritone Ukulele, Organ, Drums",Baritone Ukulele,"Organ, Drums",Silly,Clean,Rock,"Fun, Personal, Kids",Fun,"Personal, Kids",,,2:15,D,140,https://www.youtube.com/watch?v=rsZx9KBeVow,"Background, Location, Topic, Mood, Instrument, Beard"
20,1/20/2009,Stars in Our Eyes,Baltimore,Politics,Organ,Organ,,Pensive,Clean,Latin,"Fun, Political",Fun,Political,,Obama,2:31,C,131,https://www.youtube.com/watch?v=K_qfUkUFc4E,"Background, Location, Topic, Mood, Instrument, Beard"
21,1/21/2009,Stay Out of My Body,NYC,Sick,Baritone Ukulele,Baritone Ukulele,,Tired,Clean,Folk,"Dark, Personal",Dark,Personal,,,3:13,Bbm,88,https://www.youtube.com/watch?v=Nf3bMujYhOU,"Background, Location, Topic, Mood, Instrument, Beard"
22,1/22/2009,Obama Makes Me Smile,NYC,Politics,Baritone Ukulele,Baritone Ukulele,,Silly,Clean,Folk,"Light, Political, Kids",Light,"Political, Kids",,Obama,0:59,G,86,https://www.youtube.com/watch?v=pEg-XLfxURQ,"Background, Location, Topic, Mood, Instrument, Beard"
23,1/23/2009,Barack Obama,NYC,Politics,Electric Guitar,Electric Guitar,,Happy,Shadow,Rock,"Distortion, Political",Distortion,Political,,Obama,1:56,A,104,https://www.youtube.com/watch?v=35rk9q3Z0N0,"Background, Location, Topic, Mood, Instrument, Beard"
24,1/24/2009,"Hello, Hello","Southington, CT",Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Shadow,Rock,"Cheesy, Silly",Cheesy,Silly,,,1:00,C,120,https://www.youtube.com/watch?v=7zekFoBg12I,"Background, Location, Topic, Mood, Instrument, Beard"
25,1/25/2009,Love Me a Little Bit More,"Jupiter, FL",Love,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Sad,Shadow,Blues,"Dark, Personal, Relationships",Dark,"Personal, Relationships",,,4:10,Bm,70,https://www.youtube.com/watch?v=Mn1In11VTRs,"Background, Location, Topic, Mood, Instrument, Beard"
26,1/26/2009,Speaking Electricity,"Jupiter, FL",Poetic,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Pensive,Shadow,Rock,Hopeful,Hopeful,,,,3:45,D,86,https://www.youtube.com/watch?v=uc-lNhjlOAA,"Background, Location, Topic, Mood, Instrument, Beard"
27,1/27/2009,Up on the Mountain Top,"Jupiter, FL",Poetic,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Pensive,Shadow,Rock,Hopeful,Hopeful,,,,3:53,D,110,https://www.youtube.com/watch?v=1lsfUAe8IGg,"Background, Location, Topic, Mood, Instrument, Beard"
28,1/28/2009,The Fox and the Hen,"Jupiter, FL",Animals,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Electro,Silly,Silly,,"Fox, Bird, Chicken",,1:41,A,114,https://www.youtube.com/watch?v=0Sfg1VGZggw,"Background, Location, Topic, Mood, Instrument, Beard"
29,1/29/2009,You Know Yourself,"Jupiter, FL",Poetic,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Intense,Clean,Electro,"Heavy, Cheesy",Heavy,Cheesy,,,2:35,G,100,https://www.youtube.com/watch?v=5VScsEbZw7k,"Background, Location, Topic, Mood, Instrument, Beard"
30,1/30/2009,Dark Days,"Jupiter, FL",Animals,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Anxious,Clean,Rock,"Dark, Looming",Dark,Looming,,Meerkat,2:12,Bbm,106,https://www.youtube.com/watch?v=rPAbyLll7xM,"Background, Location, Topic, Mood, Instrument, Beard"
31,1/31/2009,The Day That Google Crashed the internet,"Jupiter, FL",Internet,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Clean,Rock,Nerd,Nerd,,Google,,3:15,F,107,https://www.youtube.com/watch?v=3nH7RmupP8M,"Background, Location, Topic, Mood, Instrument, Beard"
32,02.01.2009,Go to Sleep,"Jupiter, FL",Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Pensive,Clean,Rock,"Dark, Dreams",Dark,Dreams,80s,,3:58,C,98,https://www.youtube.com/watch?v=W-ZnTEK_uos,"Background, Location, Topic, Mood, Instrument, Beard"
33,02.02.2009,I Love Battlestar Galactica,"Jupiter, FL",Nerd,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Shadow,Electro,"Fun, Catchy",Fun,Catchy,"TV show, Sci-Fi",Battlestar,2:56,G,87,https://www.youtube.com/watch?v=xaStl18xyBc,"Background, Location, Topic, Mood, Instrument, Beard"
34,02.03.2009,(Just Sing) a Happy Song,"Jupiter, FL",Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Shadow,Rock,Cheesy,Cheesy,,,,1:53,D,94,https://www.youtube.com/watch?v=uJ_zAYuFeAs,"Background, Location, Topic, Mood, Instrument, Beard"
35,02.04.2009,Come Down Where You Ought to Be,Los Angeles,Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Pensive,Shadow,Rock,"Wistful, Narrative",Wistful,Narrative,,,2:29,A,74,https://www.youtube.com/watch?v=ZikADYAT0y8,"Background, Location, Topic, Mood, Instrument, Beard"
36,02.05.2009,Scarlett Thomas,Los Angeles,Book,"Piano,Synths, Samples, Drum Machine",Piano,"ynths, Samples, Drum Machine",Chill,Shadow,Electro,"Delicate, Nerd",Delicate,Nerd,Book,Scarlett Thomas,2:35,C,68,https://www.youtube.com/watch?v=-cU3FfI8k2s,"Background, Location, Topic, Mood, Instrument, Beard"
37,02.06.2009,Water,Los Angeles,Nerd,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Excited,Shadow,Rock,"Motivational, Educational",Motivational,Educational,Food,,0:41,F,110,https://www.youtube.com/watch?v=txF8ZlqJ6SI,"Background, Location, Topic, Mood, Instrument, Beard"
